"","SN","Id","tree_id","location","species","UTM","X","Y","district","forest_type","dev_status","density","quality","crown","st_ht","cr_ht","Ht","dbh","Hx","Dx","v_ob","Vol_tree","x","y","predictions","pred_model1","pred_sm","pred_fit"
"23",23,2,"102ds","bani","sal",44,441519,3195295,"kanchanpur","sal asna",4,35,1,1,99,5.6,38.2,90.6,28,28.1,0.156035949,10.88333913,0.732984293193717,28.1,20.1476458236558,20.1476458236558,21.5646024949587,0.349836143547808
"24",24,2,"102ds","bani","sal",44,441519,3195295,"kanchanpur","sal asna",4,35,1,1,99,5.6,38.2,90.6,26,34.6,0.220941695,10.88333913,0.680628272251309,34.6,23.5263412388323,23.5263412388323,25.1154143746701,0.411572486944359
"25",25,2,"102ds","bani","sal",44,441519,3195295,"kanchanpur","sal asna",4,35,1,1,99,5.6,38.2,90.6,24,40.2,0.256726914,10.88333913,0.628272251308901,40.2,26.9050366540088,26.9050366540088,28.5535218568811,0.478265346155808
"26",26,2,"102ds","bani","sal",44,441519,3195295,"kanchanpur","sal asna",4,35,1,1,99,5.6,38.2,90.6,22,44.9,0.408666897,10.88333913,0.575916230366492,44.9,30.2837320691854,30.2837320691854,31.8728248662013,0.546727579061977
"27",27,2,"102ds","bani","sal",44,441519,3195295,"kanchanpur","sal asna",4,35,1,1,99,5.6,38.2,90.6,20,52.1,0.495917975,10.88333913,0.523560209424084,52.1,33.6624274843619,33.6624274843619,35.0672233272403,0.612483204210912
"28",28,2,"102ds","bani","sal",44,441519,3195295,"kanchanpur","sal asna",4,35,1,1,99,5.6,38.2,90.6,18,60,0.678642538,10.88333913,0.471204188481675,60,37.0411228995384,37.0411228995384,38.1306171646076,0.670806366899073
"29",29,2,"102ds","bani","sal",44,441519,3195295,"kanchanpur","sal asna",4,35,1,1,99,5.6,38.2,90.6,14,71,0.944802984,10.88333913,0.366492146596859,71,43.7985137298915,43.7985137298915,43.8261005246347,0.75123631630217
"30",30,2,"102ds","bani","sal",44,441519,3195295,"kanchanpur","sal asna",4,35,1,1,99,5.6,38.2,90.6,16,71,0.791815075,10.88333913,0.418848167539267,71,40.419818314715,40.419818314715,41.056865612825,0.717760305251535
"31",31,2,"102ds","bani","sal",44,441519,3195295,"kanchanpur","sal asna",4,35,1,1,99,5.6,38.2,90.6,8,79.8,1.097054996,10.88333913,0.209424083769633,79.8,53.9345999754211,53.9345999754211,50.6366269022439,0.79894892729797
"32",32,2,"102ds","bani","sal",44,441519,3195295,"kanchanpur","sal asna",4,35,1,1,99,5.6,38.2,90.6,6,81.4,1.052343597,10.88333913,0.157068062827225,81.4,57.3132953905976,57.3132953905976,52.2126058801413,0.830351190462865
"33",33,2,"102ds","bani","sal",44,441519,3195295,"kanchanpur","sal asna",4,35,1,1,99,5.6,38.2,90.6,4,82.3,0.503817513,10.88333913,0.104712041884817,82.3,60.6919908057742,60.6919908057742,53.3439181030365,0.901516707934106
"34",34,2,"102ds","bani","sal",44,441519,3195295,"kanchanpur","sal asna",4,35,1,1,99,5.6,38.2,90.6,10,72.6,0.958274521,10.88333913,0.261780104712042,72.6,50.5559045602446,50.5559045602446,48.6745222779538,0.784693835658636
"35",35,2,"102ds","bani","sal",44,441519,3195295,"kanchanpur","sal asna",4,35,1,1,99,5.6,38.2,90.6,12,73.6,1.08473796,10.88333913,0.31413612565445,73.6,47.177209145068,47.177209145068,46.3848331158809,0.77199272207385
"36",36,2,"102ds","bani","sal",44,441519,3195295,"kanchanpur","sal asna",4,35,1,1,99,5.6,38.2,90.6,3.1,86.5,0.796383523,10.88333913,0.081151832460733,86.5,62.2124037426036,62.2124037426036,53.8157636058651,0.954366095080666
"37",37,2,"102ds","bani","sal",44,441519,3195295,"kanchanpur","sal asna",4,35,1,1,99,5.6,38.2,90.6,1.8,90.1,0.320558071,10.88333913,0.0471204188481675,90.1,64.4085557624684,64.4085557624684,58.5252330397146,1.06260542081662
"38",38,2,"102ds","bani","sal",44,441519,3195295,"kanchanpur","sal asna",4,35,1,1,99,5.6,38.2,90.6,0.8,90.3,0.530233758,10.88333913,0.0209424083769634,90.3,66.0979034700566,66.0979034700566,70.5152832297948,1.17803746696585
"39",39,2,"102ds","bani","sal",44,441519,3195295,"kanchanpur","sal asna",4,35,1,1,99,5.6,38.2,90.6,1.3,90.6,0.321266479,10.88333913,0.0340314136125654,90.6,65.2532296162625,65.2532296162625,63.295260097657,1.11639443512268
"40",40,2,"102ds","bani","sal",44,441519,3195295,"kanchanpur","sal asna",4,35,1,1,99,5.6,38.2,90.6,0.3,137.3,0.28046988,10.88333913,0.00785340314136126,137.3,66.9425773238508,66.9425773238508,80.7111358684629,1.24830843253778
"41",41,2,"102ds","bani","sal",44,441519,3195295,"kanchanpur","sal asna",4,35,1,1,99,5.6,38.2,90.6,0.15,169.6,11.16380901,10.88333913,0.00392670157068063,169.6,67.195979479989,67.195979479989,84.4287905119708,1.27119303779272
"42",42,3,"103ds","bani","sal",44,441451,3195240,"kanchanpur","sal asna",4,30,1,1,72,5.8,28.1,57,28.1,0,0.003377741,2.664334306,1,0,2.91629920625543,2.91629920625543,0.380533959480402,-0.00763321063843492
"43",43,3,"103ds","bani","sal",44,441451,3195240,"kanchanpur","sal asna",4,30,1,1,72,5.8,28.1,57,26,6.4,0.006428117,2.664334306,0.925266903914591,6.4,7.73905625617468,7.73905625617468,7.12299341496738,0.139309801465847
"44",44,3,"103ds","bani","sal",44,441451,3195240,"kanchanpur","sal asna",4,30,1,1,72,5.8,28.1,57,24,12.6,0.033335242,2.664334306,0.854092526690391,12.6,12.3321582084787,12.3321582084787,12.8410865762393,0.224550112740657
"45",45,3,"103ds","bani","sal",44,441451,3195240,"kanchanpur","sal asna",4,30,1,1,72,5.8,28.1,57,22,16.3,0.023881731,2.664334306,0.782918149466192,16.3,16.9252601607828,16.9252601607828,18.075124595906,0.296395481552034
"46",46,3,"103ds","bani","sal",44,441451,3195240,"kanchanpur","sal asna",4,30,1,1,72,5.8,28.1,57,21,20,0.042464392,2.664334306,0.747330960854092,20,19.2218111369348,19.2218111369348,20.5727382818584,0.333970189161173
"47",47,3,"103ds","bani","sal",44,441451,3195240,"kanchanpur","sal asna",4,30,1,1,72,5.8,28.1,57,20,24.4,0.109214248,2.664334306,0.711743772241993,24.4,21.5183621130868,21.5183621130868,23.0183414580065,0.374165080229153
"48",48,3,"103ds","bani","sal",44,441451,3195240,"kanchanpur","sal asna",4,30,1,1,72,5.8,28.1,57,18,28.2,0.139890995,2.664334306,0.640569395017794,28.2,26.1114640653909,26.1114640653909,27.7564443277122,0.462295349050439
"49",49,3,"103ds","bani","sal",44,441451,3195240,"kanchanpur","sal asna",4,30,1,1,72,5.8,28.1,57,16,31.4,0.167159215,2.664334306,0.569395017793594,31.4,30.7045660176949,30.7045660176949,32.2776382153221,0.55516376615362
"50",50,3,"103ds","bani","sal",44,441451,3195240,"kanchanpur","sal asna",4,30,1,1,72,5.8,28.1,57,14,33.8,0.184094256,2.664334306,0.498220640569395,33.8,35.2976679699989,35.2976679699989,36.5665979144654,0.641912617445706
"51",51,3,"103ds","bani","sal",44,441451,3195240,"kanchanpur","sal asna",4,30,1,1,72,5.8,28.1,57,12,36.4,0.252658475,2.664334306,0.427046263345196,36.4,39.890769922303,39.890769922303,40.6079982089592,0.711272766513036
"52",52,3,"103ds","bani","sal",44,441451,3195240,"kanchanpur","sal asna",4,30,1,1,72,5.8,28.1,57,8,41.4,0.30099167,2.664334306,0.284697508896797,41.4,49.0769738269111,49.0769738269111,47.7091342916103,0.779635920175409
"53",53,3,"103ds","bani","sal",44,441451,3195240,"kanchanpur","sal asna",4,30,1,1,72,5.8,28.1,57,10,41.7,0.257619297,2.664334306,0.355871886120996,41.7,44.483871874607,44.483871874607,44.3640485238583,0.756387424531268
"54",54,3,"103ds","bani","sal",44,441451,3195240,"kanchanpur","sal asna",4,30,1,1,72,5.8,28.1,57,6,44,0.31751219,2.664334306,0.213523131672598,44,53.6700757792151,53.6700757792151,50.4961828101267,0.797457469529811
"55",55,3,"103ds","bani","sal",44,441451,3195240,"kanchanpur","sal asna",4,30,1,1,72,5.8,28.1,57,4,45.9,0.206495507,2.664334306,0.142348754448399,45.9,58.2631777315192,58.2631777315192,52.5781213773196,0.845174945998198
"56",56,3,"103ds","bani","sal",44,441451,3195240,"kanchanpur","sal asna",4,30,1,1,72,5.8,28.1,57,2.8,47.7,0.193498336,2.664334306,0.099644128113879,47.7,61.0190389029016,61.0190389029016,53.4276494969312,0.911581371428229
"57",57,3,"103ds","bani","sal",44,441451,3195240,"kanchanpur","sal asna",4,30,1,1,72,5.8,28.1,57,1.8,51.5,0.115867355,2.664334306,0.0640569395017794,51.5,63.3155898790536,63.3155898790536,55.1322938512272,1.00347202206809
"58",58,3,"103ds","bani","sal",44,441451,3195240,"kanchanpur","sal asna",4,30,1,1,72,5.8,28.1,57,1.3,57,0.133069228,2.664334306,0.0462633451957295,57,64.4638653671296,64.4638653671296,58.7729900281749,1.06590191619709
"59",59,3,"103ds","bani","sal",44,441451,3195240,"kanchanpur","sal asna",4,30,1,1,72,5.8,28.1,57,0.8,59.4,0.168254028,2.664334306,0.0284697508896797,59.4,65.6121408552056,65.6121408552056,66.0332697336887,1.14158366577758
"60",60,3,"103ds","bani","sal",44,441451,3195240,"kanchanpur","sal asna",4,30,1,1,72,5.8,28.1,57,0.3,71,0.065346184,2.664334306,0.0106761565836299,71,66.7604163432816,66.7604163432816,78.234183176391,1.23238381011291
"61",61,3,"103ds","bani","sal",44,441451,3195240,"kanchanpur","sal asna",4,30,1,1,72,5.8,28.1,57,0.15,77.8,2.72968049,2.664334306,0.00533807829181495,77.8,67.1048989897044,67.1048989897044,83.0553777941424,1.26286837108674
"62",62,4,"107ds","bani","sal",44,441650,3195147,"Kanchanpur","sal asna",4,30,1,1,69,6.9,30.5,103.7,30.5,0,0.009500504,10.24466315,1,0,2.91629920625543,2.91629920625543,0.380533959480402,-0.00763321063843492
"63",63,4,"107ds","bani","sal",44,441650,3195147,"Kanchanpur","sal asna",4,30,1,1,69,6.9,30.5,103.7,28,10,0.036436865,10.24466315,0.918032786885246,10,8.20589612673673,8.20589612673673,7.7320184136461,0.149533499346411
"64",64,4,"107ds","bani","sal",44,441650,3195147,"Kanchanpur","sal asna",4,30,1,1,69,6.9,30.5,103.7,26,18.6,0.009764306,10.24466315,0.852459016393443,18.6,12.4375736631218,12.4375736631218,12.9658793428658,0.226241797912852
"65",65,4,"107ds","bani","sal",44,441650,3195147,"Kanchanpur","sal asna",4,30,1,1,69,6.9,30.5,103.7,25,20,0.073890698,10.24466315,0.819672131147541,20,14.5534124313143,14.5534124313143,15.4204690703077,0.259369375069303
"66",66,4,"107ds","bani","sal",44,441650,3195147,"Kanchanpur","sal asna",4,30,1,1,69,6.9,30.5,103.7,24,27,0.120599044,10.24466315,0.786885245901639,27,16.6692511995068,16.6692511995068,17.7927394251097,0.292338077063247
"67",67,4,"107ds","bani","sal",44,441650,3195147,"Kanchanpur","sal asna",4,30,1,1,69,6.9,30.5,103.7,22,28.4,0.151483915,10.24466315,0.721311475409836,28.4,20.9009287358918,20.9009287358918,22.3657085827891,0.363081306206271
"68",68,4,"107ds","bani","sal",44,441650,3195147,"Kanchanpur","sal asna",4,30,1,1,69,6.9,30.5,103.7,20,33.5,0.224706783,10.24466315,0.655737704918033,33.5,25.1326062722769,25.1326062722769,26.7643525616293,0.442813931126312
"69",69,4,"107ds","bani","sal",44,441650,3195147,"Kanchanpur","sal asna",4,30,1,1,69,6.9,30.5,103.7,18,41.7,0.356348199,10.24466315,0.590163934426229,41.7,29.3642838086619,29.3642838086619,30.9816532313488,0.528163856726067
"70",70,4,"107ds","bani","sal",44,441650,3195147,"Kanchanpur","sal asna",4,30,1,1,69,6.9,30.5,103.7,16,52.9,0.634302817,10.24466315,0.524590163934426,52.9,33.5959613450469,33.5959613450469,35.0056259304195,0.611246429769165
"71",71,4,"107ds","bani","sal",44,441650,3195147,"Kanchanpur","sal asna",4,30,1,1,69,6.9,30.5,103.7,14,72.65,1.085057018,10.24466315,0.459016393442623,72.65,37.827638881432,37.827638881432,38.8242859973134,0.682866421622743
"72",72,4,"107ds","bani","sal",44,441650,3195147,"Kanchanpur","sal asna",4,30,1,1,69,6.9,30.5,103.7,6,82.4,1.112764066,10.24466315,0.19672131147541,82.4,54.7543490269721,54.7543490269721,51.0567001146378,0.804256899193111
"73",73,4,"107ds","bani","sal",44,441650,3195147,"Kanchanpur","sal asna",4,30,1,1,69,6.9,30.5,103.7,10,83.2,1.108421728,10.24466315,0.327868852459016,83.2,46.2909939542021,46.2909939542021,45.737336498581,0.767596766703065
"74",74,4,"107ds","bani","sal",44,441650,3195147,"Kanchanpur","sal asna",4,30,1,1,69,6.9,30.5,103.7,8,84.8,1.09801708,10.24466315,0.262295081967213,84.8,50.5226714905871,50.5226714905871,48.6535000103588,0.784581630365028
"75",75,4,"107ds","bani","sal",44,441650,3195147,"Kanchanpur","sal asna",4,30,1,1,69,6.9,30.5,103.7,4,85.9,0.834132808,10.24466315,0.131147540983607,85.9,58.9860265633572,58.9860265633572,52.8319225981078,0.858904208710976
"76",76,4,"107ds","bani","sal",44,441650,3195147,"Kanchanpur","sal asna",4,30,1,1,69,6.9,30.5,103.7,12,92.4,1.21418975,10.24466315,0.39344262295082,92.4,42.059316417817,42.059316417817,42.4232237926142,0.735720011000057
"77",77,4,"107ds","bani","sal",44,441650,3195147,"Kanchanpur","sal asna",4,30,1,1,69,6.9,30.5,103.7,2.8,101.6,0.815509839,10.24466315,0.0918032786885246,101.6,61.5250330851882,61.5250330851882,53.5503083578422,0.92851468314805
"78",78,4,"107ds","bani","sal",44,441650,3195147,"Kanchanpur","sal asna",4,30,1,1,69,6.9,30.5,103.7,1.8,102.2,0.416219887,10.24466315,0.059016393442623,102.2,63.6408718533807,63.6408718533807,55.8729218974314,1.01991478763721
"79",79,4,"107ds","bani","sal",44,441650,3195147,"Kanchanpur","sal asna",4,30,1,1,69,6.9,30.5,103.7,1.3,103.7,0.423099183,10.24466315,0.0426229508196721,103.7,64.698791237477,64.698791237477,59.9206987833719,1.08024845642043
"80",80,4,"107ds","bani","sal",44,441650,3195147,"Kanchanpur","sal asna",4,30,1,1,69,6.9,30.5,103.7,0.8,103.9,0.520218656,10.24466315,0.0262295081967213,103.9,65.7567106215732,65.7567106215732,67.2702443415929,1.1521435793611
"81",81,4,"107ds","bani","sal",44,441650,3195147,"Kanchanpur","sal asna",4,30,1,1,69,6.9,30.5,103.7,0.3,125.3,0.197929402,10.24466315,0.00983606557377049,125.3,66.8146300056695,66.8146300056695,78.9546500182321,1.23707780736933
"82",82,4,"107ds","bani","sal",44,441650,3195147,"Kanchanpur","sal asna",4,30,1,1,69,6.9,30.5,103.7,0.15,133.8,10.44259255,10.24466315,0.00491803278688525,133.8,67.1320058208984,67.1320058208984,83.459716615513,1.2653341916556
"83",83,5,"108ds","singpur","sal",44,447377,3187341,"kanchanpur","sal asna",2,65,1,1,84,10.4,27.3,52.9,27.3,0,0.0006616,2.42861256,1,0,2.91629920625543,2.91629920625543,0.380533959480402,-0.00763321063843492
"84",84,5,"108ds","singpur","sal",44,447377,3187341,"kanchanpur","sal asna",2,65,1,1,84,10.4,27.3,52.9,26,3.6,0.004036828,2.42861256,0.952380952380952,3.6,5.98930313148742,5.98930313148742,4.77585059766127,0.0959089509086901
"85",85,5,"108ds","singpur","sal",44,447377,3187341,"kanchanpur","sal asna",2,65,1,1,84,10.4,27.3,52.9,24,6.2,0.008698185,2.42861256,0.879120879120879,6.2,10.7170014779982,10.7170014779982,10.8957180887244,0.197641745622134
"86",86,5,"108ds","singpur","sal",44,447377,3187341,"kanchanpur","sal asna",2,65,1,1,84,10.4,27.3,52.9,22.4,10,0.003402873,2.42861256,0.82051282051282,10,14.4991601552068,14.4991601552068,15.3586421709824,0.258529909579023
"87",87,5,"108ds","singpur","sal",44,447377,3187341,"kanchanpur","sal asna",2,65,1,1,84,10.4,27.3,52.9,22,10.8,0.025901668,2.42861256,0.805860805860806,10.8,15.4446998245089,15.4446998245089,16.4286896134927,0.27317381401638
"88",88,5,"108ds","singpur","sal",44,447377,3187341,"kanchanpur","sal asna",2,65,1,1,84,10.4,27.3,52.9,20,14.6,0.040932645,2.42861256,0.732600732600733,14.6,20.1723981710197,20.1723981710197,21.5910108478775,0.350266532148696
"89",89,5,"108ds","singpur","sal",44,447377,3187341,"kanchanpur","sal asna",2,65,1,1,84,10.4,27.3,52.9,18.3,20,0.010006934,2.42861256,0.67032967032967,20,24.1909417655538,24.1909417655538,25.8007979706359,0.424373456104791
"90",90,5,"108ds","singpur","sal",44,447377,3187341,"kanchanpur","sal asna",2,65,1,1,84,10.4,27.3,52.9,18,21.2,0.090450853,2.42861256,0.659340659340659,21.2,24.9000965175304,24.9000965175304,26.5272676332387,0.438230512738041
"91",91,5,"108ds","singpur","sal",44,447377,3187341,"kanchanpur","sal asna",2,65,1,1,84,10.4,27.3,52.9,16,26.5,0.118172922,2.42861256,0.586080586080586,26.5,29.6277948640412,29.6277948640412,31.2379987230305,0.533498809271658
"92",92,5,"108ds","singpur","sal",44,447377,3187341,"kanchanpur","sal asna",2,65,1,1,84,10.4,27.3,52.9,14,29,0.139669932,2.42861256,0.512820512820513,29,34.355493210552,34.355493210552,35.7064917738811,0.625200120111643
"93",93,5,"108ds","singpur","sal",44,447377,3187341,"kanchanpur","sal asna",2,65,1,1,84,10.4,27.3,52.9,12,29.9,0.218143404,2.42861256,0.43956043956044,29.9,39.0831915570627,39.0831915570627,39.916034442419,0.700731992601535
"94",94,5,"108ds","singpur","sal",44,447377,3187341,"kanchanpur","sal asna",2,65,1,1,84,10.4,27.3,52.9,10,43.4,0.304855087,2.42861256,0.366300366300366,43.4,43.8108899035735,43.8108899035735,43.8358930335602,0.751334027172908
"95",95,5,"108ds","singpur","sal",44,447377,3187341,"kanchanpur","sal asna",2,65,1,1,84,10.4,27.3,52.9,8,44.7,0.328940967,2.42861256,0.293040293040293,44.7,48.5385882500842,48.5385882500842,47.3430744583115,0.777661081451949
"96",96,5,"108ds","singpur","sal",44,447377,3187341,"kanchanpur","sal asna",2,65,1,1,84,10.4,27.3,52.9,6,46.8,0.360584512,2.42861256,0.21978021978022,46.8,53.266286596595,53.266286596595,50.2772984091488,0.795356474366041
"97",97,5,"108ds","singpur","sal",44,447377,3187341,"kanchanpur","sal asna",2,65,1,1,84,10.4,27.3,52.9,4,49,0.235706745,2.42861256,0.146520146520147,49,57.9939849431057,57.9939849431057,52.4781801291925,0.840625190250354
"98",98,5,"108ds","singpur","sal",44,447377,3187341,"kanchanpur","sal asna",2,65,1,1,84,10.4,27.3,52.9,2.8,51,0.204676971,2.42861256,0.102564102564103,51,60.8306039510122,60.8306039510122,53.379984831576,0.905700854826857
"99",99,5,"108ds","singpur","sal",44,447377,3187341,"kanchanpur","sal asna",2,65,1,1,84,10.4,27.3,52.9,1.8,51.1,0.106214508,2.42861256,0.0659340659340659,51.1,63.1944531242676,63.1944531242676,54.9052207774169,0.997586738683836
"100",100,5,"108ds","singpur","sal",44,447377,3187341,"kanchanpur","sal asna",2,65,1,1,84,10.4,27.3,52.9,1.3,52.9,0.112411116,2.42861256,0.0476190476190476,52.9,64.3763777108953,64.3763777108953,58.3848984377966,1.0607016392993
"101",101,5,"108ds","singpur","sal",44,447377,3187341,"kanchanpur","sal asna",2,65,1,1,84,10.4,27.3,52.9,0.8,54.1,0.11514481,2.42861256,0.0293040293040293,54.1,65.5583022975229,65.5583022975229,65.5927677590412,1.13771249680604
"102",102,5,"108ds","singpur","sal",44,447377,3187341,"kanchanpur","sal asna",2,65,1,1,84,10.4,27.3,52.9,0.3,54.2,0.035381929,2.42861256,0.010989010989011,54.2,66.7402268841506,66.7402268841506,77.9694517359496,1.23064550089116
"103",103,5,"108ds","singpur","sal",44,447377,3187341,"kanchanpur","sal asna",2,65,1,1,84,10.4,27.3,52.9,0.15,55.4,2.463994489,2.42861256,0.00549450549450549,55.4,67.0948042601389,67.0948042601389,82.905748924599,1.26195261477705
"104",104,6,"109ds","singpur","sal",44,447410,3187364,"kanchanpur","sal asna",4,65,2,1,84,13.8,24,37.9,24,0,0.002375759,1.213507141,1,0,2.91629920625543,2.91629920625543,0.380533959480402,-0.00763321063843492
"105",105,6,"109ds","singpur","sal",44,447410,3187364,"kanchanpur","sal asna",4,65,2,1,84,13.8,24,37.9,22,5.5,0.008183608,1.213507141,0.916666666666667,5.5,8.29405607541142,8.29405607541142,7.8462544415545,0.15140998526131
"106",106,6,"109ds","singpur","sal",44,447410,3187364,"kanchanpur","sal asna",4,65,2,1,84,13.8,24,37.9,20.4,10,0.003335645,1.213507141,0.85,10,12.5962615707362,12.5962615707362,13.1532615136359,0.228777450971647
"107",107,6,"109ds","singpur","sal",44,447410,3187364,"kanchanpur","sal asna",4,65,2,1,84,13.8,24,37.9,20,10.6,0.020133874,1.213507141,0.833333333333333,10.6,13.6718129445674,13.6718129445674,14.4088425402386,0.245697128689427
"108",108,6,"109ds","singpur","sal",44,447410,3187364,"kanchanpur","sal asna",4,65,2,1,84,13.8,24,37.9,18,12,0.026266082,1.213507141,0.75,12,19.0495698137234,19.0495698137234,20.3873398708896,0.331067430441664
"109",109,6,"109ds","singpur","sal",44,447410,3187364,"kanchanpur","sal asna",4,65,2,1,84,13.8,24,37.9,16,13.8,0.026869572,1.213507141,0.666666666666667,13.8,24.4273266828794,24.4273266828794,26.0435148573376,0.428970972366247
"110",110,6,"109ds","singpur","sal",44,447410,3187364,"kanchanpur","sal asna",4,65,2,1,84,13.8,24,37.9,14.8,20,0.033038047,1.213507141,0.616666666666667,20,27.653980804373,27.653980804373,29.2997636818599,0.493432824029473
"111",111,6,"109ds","singpur","sal",44,447410,3187364,"kanchanpur","sal asna",4,65,2,1,84,13.8,24,37.9,14,24.5,0.096228072,1.213507141,0.583333333333333,24.5,29.8050835520353,29.8050835520353,31.4100431573066,0.537082289253877
"112",112,6,"109ds","singpur","sal",44,447410,3187364,"kanchanpur","sal asna",4,65,2,1,84,13.8,24,37.9,12,25,0.105494712,1.213507141,0.5,25,35.1828404211913,35.1828404211913,36.4623272369942,0.639913950727742
